,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_amberheard,hash_australia,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_johnnydepp,hash_trending,hash_viral
0,US,7103283170245676330,1653861993,#stitch with @rafaellysantospjl,6716323223530767365,Esteban,"23
LA ✈️ FL 
snapchat : estebanhttps
my 100% free “🌶🥵🔥” content is on insta",0,False,https://www.tiktok.com/@esteban.https/video/7103283170245676330?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103283170245676330&source=h5_m,135692,127,421,200,8794,7103283145578973998,7103283145578973998,72,7103283145578973998,original sound - esteban.https (Contains music from: Beat ja e feia quando eu passo vira o olho meme - DJ Gatal Jedag),"Contains music from: ""Beat ja e feia quando eu passo vira o olho meme""",6.716323223530767e+18,Esteban,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103283167557339950.mp3,,False,False,DJ Gatal Jedag,Beat ja e feia quando eu passo vira o olho meme,original sound - esteban.https (Contains music from: Beat ja e feia quando eu passo vira o olho meme - DJ Gatal Jedag),"Contains music from: ""Beat ja e feia quando eu passo vira o olho meme""",[],0,0,Australia,#stitch,0,0,0,0,0,0,0,0,0,0
1,GB,7102743495747603718,1653736342,#fyp #johnnydepp #johnnydeppisinnocent #johnnydepptiktok #johnnydepptrial #johnnydeppedit #justiceforjohnnydepp #lillyrosedepp #katemoss,6545508980256866309,🖤 Edits by Sophie 🖤,"🖤Sophie🖤
🔥Actor and movie Edits 🔥
🎬Everything films and actors 🎬",0,False,https://www.tiktok.com/@sophieisabella2809/video/7102743495747603718?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102743495747603718&source=h5_m,9858904,3477,1788,3500,1311366,7086593547415128066,7086593547415128066,10033,7086593547415128066,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3a863e8dbffc400a95a7cf1254261965,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/4b2726ce418347a5bb7f7d034471b3cb,False,True,,,,,[],0,0,Australia,#fyp #johnnydepp #johnnydeppisinnocent #johnnydepptiktok #johnnydepptrial #johnnydeppedit #justiceforjohnnydepp #lillyrosedepp #katemoss,0,0,0,0,0,1,0,1,0,0
2,AU,7101977202962484481,1653557925,Just following Heards tutorial....this took me fucking hours so it better to viral 🤣 #amberheard #amberturd #bruisekit #amberheardbruisekit,6729739652188783622,Courtney Leigh Holli,Makeup Enthusiast. Aussie,0,False,https://www.tiktok.com/@courtneyleighholl/video/7101977202962484481?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101977202962484481&source=h5_m,3861993,1525,2206,1908,390615,7098383331942763307,7098383331942763307,72,7098383331942763307,original sound - thevintageblonde_,Kelsey Adrienne,6.903295887658763e+18,Kelsey Adrienne,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098382727506021166.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/84ec3ad13360189dfb0a30e757c46b51.json,False,False,,,,,[],0,0,Australia,#amberheard #amberturd #bruisekit #amberheardbruisekit,1,0,0,0,0,0,0,0,0,0
3,GB,7103137728379768070,1653828131,#trending #viral #tiktok #trend #fypシ #fyp,7099752659749848070,Real_ginger_r9,"Main got banned at 600k
Insta the_true_r9
YouTube The_True_R9 🇧🇷🇧🇷",0,False,https://www.tiktok.com/@official_ginger_r9/video/7103137728379768070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103137728379768070&source=h5_m,1536640,2991,2367,4425,120979,6733128484777921281,6733128484777921281,10009,6733128484777921281,Can We Kiss Forever?,Kina,,,True,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/cc2b6ff1bdd34c6eb91c2c1addc49769,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/cc2da6d582e94c3d82070e2c02f72c21,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': 'USSM11914456', 'external_song_key': 'apple_song_id'}]",0,0,Australia,#trending #viral #tiktok #trend #fypシ #fyp,0,0,0,0,0,1,1,0,1,1
4,NL,7098235887196196097,1652686832,Taylor Swift is my FRIEND !😎 (Part 2)  #ABC #Tiffany #TiffanyHaddish #lcyme,6577279222191685634,𝙇𝘾𝙔シ,"“Sadness flies away on the wings of time.”
𝑳𝑪𝒀 👼",0,False,https://www.tiktok.com/@lcy.me/video/7098235887196196097?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098235887196196097&source=h5_m,12610836,961,519,3392,1839606,7098235889813293825,7098235889813293825,24,7098235889813293825,original sound - lcy.me (Contains music from: Buttercup - Jack Stauber),"Contains music from: ""Buttercup""",6.577279222191686e+18,𝙇𝘾𝙔シ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098235886705412866.mp3,,False,False,Jack Stauber,Buttercup,original sound - lcy.me (Contains music from: Buttercup - Jack Stauber),"Contains music from: ""Buttercup""",[],0,0,Australia,#ABC #Tiffany #TiffanyHaddish #lcyme,0,0,0,0,0,0,0,0,0,0
5,AU,7102779392451005697,1653744699, ,6784260014577615878,Will Parfitt,"Twitter - @will_parfitt_ 
CURRENTLY TOURING WITH
MAGIC MEN AUSTRALIA👇🏾",0,False,https://www.tiktok.com/@will_parfitt/video/7102779392451005697?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102779392451005697&source=h5_m,1033506,558,590,677,111751,7089434237371599621,7089434237371599621,72,7089434237371599621,original sound - gtikkytokky,G,6.824891337260647e+18,G,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089434240701516550.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e2ec01c1f1aef64706fca74e1be09b1a.json,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
6,AU,7101087732725828865,1653350832,Wendigo: You're next. #Animation  #Wendigo #Nightmare,6783597335659185158,Shortest Blockbusters,"Artist / Filmmaker
I Create Dreams & Nightmares
👁
YouTube👇🏼",0,False,https://www.tiktok.com/@shortestblockbusters/video/7101087732725828865?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101087732725828865&source=h5_m,5134550,3561,6476,352,528032,7101087701344078594,7101087701344078594,72,7101087701344078594,original sound - shortestblockbusters,Shortest Blockbusters,6.783597335659185e+18,Shortest Blockbusters,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101087618280065794.mp3,,False,False,,,,,[],0,0,Australia,#Animation #Wendigo #Nightmare,0,0,0,0,0,0,0,0,0,0
7,NZ,7101459640940104961,1653437423,@goldenbrown.coffee thanks this is life changing #baristatok,6693958330894910469,George Yonan,"stfu
He/him ♓️",0,False,https://www.tiktok.com/@georgeyonan/video/7101459640940104961?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101459640940104961&source=h5_m,5793941,1828,8737,2263,537558,6829684739289401346,6829684739289401346,10033,6829684739289401346,Sunday Kind of Love,Etta James,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e57ab5687fb848038d0b4794c5b3487d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/663972b1d16446eabed49860c3376d4c,False,True,,,,,[],0,0,Australia,#baristatok,0,0,0,0,0,0,0,0,0,0
0,US,7101489106194304302,1653444280,my dog in the background 🖤🐶,6783394964295713797,♥️Piper Rockelle♠️,"♥️🫖 TEA PARTY 🫖 ♠️ 
out MAY 13",0,False,https://www.tiktok.com/@piperrockelle/video/7101489106194304302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101489106194304302&source=h5_m,2712499,34529,6384,5635,317026,7072756285149563649,7072756285149563649,24,7072756285149563649,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",6.976755863927686e+18,aypiks,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
1,GB,7100848606923525381,1653295156,it just ✨makes sense✨  #sectioned #section2 #grippysocks #bipolar #psychwardroom,6904897032517092357,k 🍰,this pink b!tch was called k,0,False,https://www.tiktok.com/@pinkbreakfast/video/7100848606923525381?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100848606923525381&source=h5_m,4587860,972,1471,32,430911,6854508520591624966,6854508520591624966,72,6854508520591624966,original sound - .shannonrose,SHANNON ROSE,6.785130868295452e+18,SHANNON ROSE,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6987154354180573957.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c3a0bf97bc6f1d4a8b47c19e95228924.json,False,False,,,,,[],0,0,Australia,#sectioned #section2 #grippysocks #bipolar #psychwardroom,0,0,0,0,0,0,0,0,0,0
