,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_johnnydepp,hash_relatable,hash_stitch,hash_viral
0,US,7103409322897607982,1653891367,deleting in an hour iykyk,21417653,Tabs,"u can call me tabs 
@hypehousela
check out my insta :)",0,False,https://m.tiktok.com/v/7103409322897607982.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103409322897607982&source=h5_m,186127,461,84,879,45190,7095938597865671470,7095938597865671470,10036,7095938597865671470,We Not Humping - Remix,Monaleo & Flo Milli,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f8fbfbc9ca7a448e8ac0c5b7f398a66e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2947d74154a34450b975e0eabaab6b35,True,True,,,,,[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
1,CA,7099168992148983046,1652904087,"#stitch with @copsdrinkplastic40oz this is how we joke in Canada, please don't take the video down. #canada #canadian",6742470921233990661,kopke613,"FOLLOW THE INSTA ⬆️
⬇️MERCH⬇️",0,False,https://m.tiktok.com/v/7099168992148983046.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099168992148983046&source=h5_m,7999790,13065,22822,14197,1281551,7099168991410768646,7099168991410768646,72,7099168991410768646,original sound - kopke613,kopke613,6.742470921233991e+18,kopke613,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099168999455427333.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8505a2db4aa821db3449383c37f49aee.json,False,False,,,,,[],0,0,Canada,#stitch #canada #canadian,0,0,0,0,0,0,0,0,1,0
2,CA,7085802763174661382,1649792019,remember rest days are equally as important as days where you’re active! Slowly implementing these tips into your life and continuing being easy on yourself is the best way to become the best version of yourself 🤍,6717403866919191557,em,figuring out this whole life thing,0,False,https://m.tiktok.com/v/7085802763174661382.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085802763174661382&source=h5_m,144546,130,78,540,21040,7083155336458390318,7083155336458390318,72,7083155336458390318,as it was x cruel summer x deja vu (Contains music from: Cruel Summer - Taylor Swift),"Contains music from: ""Cruel Summer""",6.810551986472863e+18,matty james,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083155368049756970.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4a2aa7e1a08546adba724f3a62d31f35.json,False,False,Taylor Swift,Cruel Summer,as it was x cruel summer x deja vu (Contains music from: Cruel Summer - Taylor Swift),"Contains music from: ""Cruel Summer""",[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
3,GB,7093131635687722246,1651498406,Noahhh #strangerthings #milliebobbybrown #noah #eleven #will #viral #fypシ,6990045715344229381,STRANGER THINGS <3,"STRANGER THINGS 
✨MillieBobbyBrown✨
Eleven❤️Mike
@stranger_thingselscar
Scarlett",0,False,https://m.tiktok.com/v/7093131635687722246.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093131635687722246&source=h5_m,2820994,1354,816,2738,218922,7093131610903595781,7093131610903595781,72,7093131610903595781,original sound - strangerthings11_01,STRANGER THINGS <3,6.990045715344229e+18,STRANGER THINGS <3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093131613198502662.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6e27dbaf784dd6c37644a59c4bc7b985.json,False,False,,,,,[],0,0,Canada,#strangerthings #milliebobbybrown #noah #eleven #will #viral #fypシ,0,0,0,0,0,1,0,0,0,1
4,US,7102563116105649454,1653694343, ,6748986930782503941,Jake Goldberg,"That kid from Grown Ups and Pablo in the Backyardigans

Insta: @silly_jake",0,False,https://m.tiktok.com/v/7102563116105649454.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102563116105649454&source=h5_m,3874566,1656,784,935,561270,7102563069511076654,7102563069511076654,72,7102563069511076654,original sound - silly_jake,Jake Goldberg,6.748986930782504e+18,Jake Goldberg,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102563113672788778.mp3,,False,False,,,,,[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
5,ZA,7097271172060007686,1652462217,Reply to @michael_rossi_13 #amberturd #justiceforjohnnydepp #ladywiththebendyface,15502758,Crystal Greeff-Katsini,"-TheLadyWithTheBendyFace-
#sunbeams☀️
Top 🎁 @positivequotestiktok - Thank you!",0,False,https://m.tiktok.com/v/7097271172060007686.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097271172060007686&source=h5_m,5858081,2671,4549,9176,568251,7095079648450595590,7095079648450595590,72,7095079648450595590,original sound - hangingwithcoop,Coop,6.933075234635924e+18,Coop,False,False,,https://sf16-music-sign.tiktokcdn.com/obj/tiktok-obj/pattern/0b6beaf42629fb73fd91e1bed92d17d6.json?x-expires=1653920610&x-signature=zQZTTzgZol2Cde54tGqWq19k6lw%3D,False,False,,,,,[],0,0,Canada,#amberturd #justiceforjohnnydepp #ladywiththebendyface,0,0,0,0,0,0,0,0,0,0
6,US,7078388243829493035,1648065693,Bruh cheated on his wife😳💔 #sad #trend #viral #breakup #content #damn #couple #tragic #tiktok #fyp #relationship,7009377952622265350,ToxicWorld4Us,PLAY GAME!!!👇🏾🐤💔🐝,0,False,https://m.tiktok.com/v/7078388243829493035.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078388243829493035&source=h5_m,8527017,1228,1032,2182,249114,7000286234253740806,7000286234253740806,72,7000286234253740806,original sound - lyrics.____.song (Contains music from: the remedy for a broken heart (Slowed & Reverbed) - Slowed - Talented1337),"Contains music from: ""the remedy for a broken heart (Slowed & Reverbed) - Slowed""",6.831777677495436e+18,𝗕𝗹𝗮𝗰𝗸,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7000286434938669830.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d3f2c4a212287f922cdddf91243aedf3.json,False,False,Talented1337,the remedy for a broken heart (Slowed & Reverbed) - Slowed,original sound - lyrics.____.song (Contains music from: the remedy for a broken heart (Slowed & Reverbed) - Slowed - Talented1337),"Contains music from: ""the remedy for a broken heart (Slowed & Reverbed) - Slowed""",[],0,0,Canada,#sad #trend #viral #breakup #content #damn #couple #tragic #tiktok #fyp #relationship,0,0,0,0,1,0,0,0,0,1
7,US,7102285762556677422,1653629767,🤭💕💕💕 #foryou #bikini,7087151221718402090,summer.smithy,No bio yet,0,False,https://m.tiktok.com/v/7102285762556677422.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102285762556677422&source=h5_m,683894,241,348,1652,79065,6968844110040009477,6968844110040009477,72,6968844110040009477,original sound - zina_bee,ZiNa,6.569251561213297e+18,ZiNa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6990641612556684038.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ac888a76f199802617201fd46fcf2e33.json,False,False,,,,,[],0,0,Canada,#foryou #bikini,1,0,0,0,0,0,0,0,0,0
0,US,7099249638636834094,1652922863,😐😐 #fyp #foryoupage #foryou #10MillionAdoptions￼ #xyzbca,6903195,bella craig :),south jersey,0,False,https://www.tiktok.com/@bellacraig7/video/7099249638636834094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099249638636834094&source=h5_m,7895643,10732,16345,12604,1423071,7018668379040910086,7018668379040910086,72,7018668379040910086,original sound - gravelinstitute (Contains music from: Gravel Institute - Bob tik),"Contains music from: ""Gravel Institute""",6.79637044187662e+18,Gravel Institute,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7018668433403398918.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/eea019c0cdad0ca212f5039e84756388.json,False,False,Bob tik,Gravel Institute,original sound - gravelinstitute (Contains music from: Gravel Institute - Bob tik),"Contains music from: ""Gravel Institute""",[],0,0,Canada,#fyp #foryoupage #foryou #10MillionAdoptions￼ #xyzbca,1,1,0,0,1,0,0,0,0,0
1,CA,7098563807164812549,1652763184,Unsolicited comments on peoples bodies aren’t the vibe y’all #weightloss #lipedema #women,6744817504063390726,insta:@princessspear,"lost 200lbs nbd ✨🍐
BC livin 🌄🌈",0,False,https://www.tiktok.com/@kahlilda/video/7098563807164812549?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098563807164812549&source=h5_m,7146112,2720,1165,829,685002,7084093869918259994,7084093869918259994,24,7084093869918259994,sorry I didnt order a glass of your opinion (Contains music from: Leave the Sin - Legacy Hits),"Contains music from: ""Leave the Sin""",6.974388978925733e+18,Jann 🦋 (Taylor's Version),False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7084093867129506586.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9ea7038c03a820eb1bbd979e803b5dee.json,False,False,Legacy Hits,Leave the Sin,sorry I didnt order a glass of your opinion (Contains music from: Leave the Sin - Legacy Hits),"Contains music from: ""Leave the Sin""",[],0,0,Canada,#weightloss #lipedema #women,0,0,0,0,0,0,0,0,0,0
2,CA,7101772462207110405,1653510255,Amber Heard just gave up #johnnydepp #amberheard #lawyer #foryou,6867154931577897989,Michael Bernardi,"Instagram: michaelbernardi10
YouTube:   michaelbernardi10",0,False,https://www.tiktok.com/@michaelbernardi10/video/7101772462207110405?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101772462207110405&source=h5_m,851462,297,145,154,77698,7096192169278441473,7096192169278441473,10033,7096192169278441473,Cooped Up,Post Malone,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f103390403d14366be53bc23c075657f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/883c3e79e82e4dea8358589881417a2d,True,True,,,,,[],0,0,Canada,#johnnydepp #amberheard #lawyer #foryou,1,0,0,0,0,0,1,0,0,0
