,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_ireland,hash_irish,hash_johnnydepp,hash_stitch,hash_viral
0,IE,7103253631633296646,1653855120,😤 #fyp,6768802629611947013,Aaron Neary,"Bonjour 
Biz - Lyonel@grail-talent.com",0,False,https://www.tiktok.com/@aaronneary_/video/7103253631633296646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103253631633296646&source=h5_m,550036,649,829,967,71468,7086207342236207915,7086207342236207915,72,7086207342236207915,original sound - wearecafune (Contains music from: Tek It (Sped Up) - Cafuné),"Contains music from: ""Tek It (Sped Up)""",6.961812931475391e+18,Cafuné,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086207382593866542.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/181a754a5487cb9a516ee69f0a6f0393.json,False,False,Cafuné,Tek It (Sped Up),original sound - wearecafune (Contains music from: Tek It (Sped Up) - Cafuné),"Contains music from: ""Tek It (Sped Up)""",[],0,0,Ireland,#fyp,0,0,0,1,0,0,0,0,0,0
1,GB,7099925150526721286,1653080145,#stitch with @ashlicash #dracomalfoy #react #hellopotter #impression #yorkshire #accent  #pottertok #brittok #tragic #mess,6909147611074053126,miwallbank,"𝐡𝐞𝐥𝐥𝐨 𝐏𝐎𝐓𝐓𝐄𝐑
yorkshire’s very own hot mess ™️
insta - emwallbank",0,False,https://www.tiktok.com/@miwallbank/video/7099925150526721286?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099925150526721286&source=h5_m,8412909,6021,23942,15256,1193269,7099925207725099782,7099925207725099782,72,7099925207725099782,original sound - miwallbank,miwallbank,6.909147611074053e+18,miwallbank,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099925209200823045.mp3,,False,False,,,,,[],0,0,Ireland,#stitch #dracomalfoy #react #hellopotter #impression #yorkshire #accent #pottertok #brittok #tragic #mess,0,0,0,0,0,0,0,0,1,0
2,IE,7101623589224369413,1653475594,Wait till the end 😭😭#dublin #dublintiktok #dublinvids  this was meant to be part one 😹 enjoy,7042608620785370117,Junior,📍#Dublin,0,False,https://www.tiktok.com/@junior_ackee20/video/7101623589224369413?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101623589224369413&source=h5_m,7206495,11274,16332,6438,711838,7101623548007025414,7101623548007025414,72,7101623548007025414,original sound - junior_ackee20,Junior,7.04260862078537e+18,Junior,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101623548854258437.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ad20788c49693c2231e9572ec1118988.json,False,False,,,,,[],0,0,Ireland,#dublin #dublintiktok #dublinvids,0,0,0,0,0,0,0,0,0,0
3,DE,7102763562208185605,1653741015,superior friendship || #fyp,6952156339489768453,ꜱᴀɴ,"ʜᴇ/ʜɪᴍ || ᴀᴇ
ꜱᴘᴀᴍ=ʙʟᴏᴄᴋ
#ᴘʀᴏᴜᴅ ᴘᴏᴏᴘᴇʀ
ɪɪᴄɪᴡᴍʏ<𝟹",0,False,https://www.tiktok.com/@xstrangerae/video/7102763562208185605?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102763562208185605&source=h5_m,3902324,10532,6113,31,1075019,7102763528452786949,7102763528452786949,72,7102763528452786949,original sound - xstrangerae,ꜱᴀɴ,6.952156339489768e+18,ꜱᴀɴ,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102763538879482629.mp3,,False,False,,,,,[],0,0,Ireland,#fyp,0,0,0,1,0,0,0,0,0,0
4,CA,7101772462207110405,1653510255,Amber Heard just gave up #johnnydepp #amberheard #lawyer #foryou,6867154931577897989,Michael Bernardi,"Instagram: michaelbernardi10
YouTube:   michaelbernardi10",0,False,https://www.tiktok.com/@michaelbernardi10/video/7101772462207110405?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101772462207110405&source=h5_m,1760368,469,235,341,166820,7096192169278441473,7096192169278441473,10033,7096192169278441473,Cooped Up,Post Malone,,,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f103390403d14366be53bc23c075657f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/883c3e79e82e4dea8358589881417a2d,True,True,,,,,[],0,0,Ireland,#johnnydepp #amberheard #lawyer #foryou,1,0,0,0,0,0,0,1,0,0
5,IE,7103621765338828038,1653940830,UPS Flight 6 #UPS #upsflight6 #crash #planecrash #animation #fyp #fy #fypシ #fypシ゚viral #avgeek #aviation #planes #aircraft #boeing,6931450296595317766,j.aviation,"Irish Aviation ☘️ 
Credit:ACI
Spam=Blocked
Ty for 10k followers",0,False,https://www.tiktok.com/@j.aviation6/video/7103621765338828038?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103621765338828038&source=h5_m,51708,75,9,0,2386,6932531867602242310,6932531867602242310,72,6932531867602242310,original sound - ahtesv,a,6.912814121692284e+18,a,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6932531904105204486.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c9a01e6d7dd54774f8dbbfb1cf381f34.json,False,False,,,,,[],0,0,Ireland,#UPS #upsflight6 #crash #planecrash #animation #fyp #fy #fypシ #fypシ゚viral #avgeek #aviation #planes #aircraft #boeing,0,0,0,1,2,0,0,0,0,1
6,IE,7075615246576127238,1647420055,Why is this all over my Feed 😂😂😂😂 #fyp #foryou #cussalittle #icarly,6731468132001809413,Tadhg Fleming ,"🇮🇪Ireland🇮🇪
ALEPSA Tings 🗣
THE CATCH’EM DERRY” fella
⬇️Wait there’s more⬇️",0,False,https://www.tiktok.com/@tadhgfleming/video/7075615246576127238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075615246576127238&source=h5_m,2303887,1536,5622,94,162896,7072533799778650922,7072533799778650922,72,7072533799778650922,original sound - clint_stafford90 (Contains music from: My Favourite Curse Word - Young Adon),"Contains music from: ""My Favourite Curse Word""",6.716248483681207e+18,random videos,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072533820301478699.mp3,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/abdc0939ce8a51643e3a2f6a09c1f54a.json,False,False,Young Adon,My Favourite Curse Word,original sound - clint_stafford90 (Contains music from: My Favourite Curse Word - Young Adon),"Contains music from: ""My Favourite Curse Word""",[],0,0,Ireland,#fyp #foryou #cussalittle #icarly,1,0,0,1,0,0,0,0,0,0
7,IE,7100843308968119557,1653293926,Kids these Days!😅🤣 #foryou #kidsoftiktok #MomsofTikTok #dayoftheweek #Alexa #cheater  #mondaymotivation #laugh #smile,6822382847107040261,Donna Jacobs Mammy ☘️,"🇮🇪☘️ My funny little old soul ☘️🇮🇪
Follow us on Instagram 📷 jacobs_mammy",0,False,https://www.tiktok.com/@keepupwithjacob/video/7100843308968119557?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100843308968119557&source=h5_m,2025584,2429,4631,4098,247086,7100843258850446085,7100843258850446085,72,7100843258850446085,original sound - keepupwithjacob,Donna Jacobs Mammy ☘️,6.82238284710704e+18,Donna Jacobs Mammy ☘️,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100843281520610053.mp3,,False,False,,,,,[],0,0,Ireland,#foryou #kidsoftiktok #MomsofTikTok #dayoftheweek #Alexa #cheater #mondaymotivation #laugh #smile,1,0,0,0,0,0,0,0,0,0
0,IE,7103544538223922437,1653922849,Quick learner pt.2 💪 @sophieob05,7090272195763340294,Ciara Gleeson,,0,False,https://m.tiktok.com/v/7103544538223922437.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103544538223922437&source=h5_m,48476,74,6,0,4059,7055576493233146650,7055576493233146650,24,7055576493233146650,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",6.806190479093941e+18,♡🆂🅴🆈 Y-THR3E♡,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7055576499734219546.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed38b24bb516fc7ca2d72dd0197cb9c9.json,False,False,Mary J. Blige,Family Affair,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
1,IE,7102811375742864646,1653752147,Will Atkinson bby @clarissamyles #championsleague #rave,7078343234753741829,Leah Treanor,Insta Leahtreanorx,0,False,https://m.tiktok.com/v/7102811375742864646.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102811375742864646&source=h5_m,182176,403,181,0,12872,7080591135152229125,7080591135152229125,10036,7080591135152229125,go (Higher & Faster),Cat Burns,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e4f928b2a3e74831a669c7c8b11a0022,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ac0956c616bb4cd8a982ff1e92208de7,False,True,,,,,[],0,0,Ireland,#championsleague #rave,0,0,0,0,0,0,0,0,0,0
