,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_jamaica,hash_jamaicantiktok,hash_jamaicatiktok,hash_tiktok,hash_trending,hash_viral
0,US,7102503378692934958,1653680434,Miachapilyne! 🤳🏽💃🏽 @big_trap876,6781129052759491589,jadakingdom,"🧚🏽‍♀️👩🏼‍🎤TWINKLE👩🏼‍🎤🧚🏽‍♀
   🌈💕

DICKMATIZED 😵‍💫 ~ OUT NOW!",0,False,https://m.tiktok.com/v/7102503378692934958.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102503378692934958&source=h5_m,313253,295,161,917,51991,7098093188288334598,7098093188288334598,72,7098093188288334598,Big trap me issa choppa,Big trap,5.333686912342835e+16,Big trap,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098093192922417926.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a317c82a5139663148cfe59f01ce3ce0.json,False,False,,,,,[],0,0,Jamaica,,0,0,0,0,0,0,0,0,0,0
1,JM,7100991104526470405,1653328332,😭😭 #landodmajor,6962228634291536901,Lando Dmajorr,"OFFICIAL ACCOUNT GOT BANNED🤦🏼‍♂️
GOING LIVE @100k
Follow my IG @lando_dmajor_",0,False,https://m.tiktok.com/v/7100991104526470405.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100991104526470405&source=h5_m,403369,1478,811,3159,47681,7073526922914974470,7073526922914974470,72,7073526922914974470,original sound - bbyshl5,🧝🏾‍♀️,6.805131795233113e+18,🧝🏾‍♀️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073526919379176198.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1586f53f59b95061640f32286f30d611.json,False,False,,,,,[],0,0,Jamaica,#landodmajor,0,0,0,0,0,0,0,0,0,0
2,JM,7090101666401340678,1650792938,@the_original_tc Handle It #pontheplaza @rebelthisrebelthat @prettypretty2120 Nawmal a Lie #dancehall #ptrenz #2grantv,7039700333014795269,2GranTvVideos,Top 1000 Dancehall Videos 24/7 Click Link Below  All Events in 🇯🇲 2GranTv,0,False,https://m.tiktok.com/v/7090101666401340678.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090101666401340678&source=h5_m,1232817,407,821,183,90190,7090101629919169286,7090101629919169286,72,7090101629919169286,original sound - 2grantvdancehallvideos,2GranTvVideos,7.039700333014795e+18,2GranTvVideos,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090101648944532230.mp3,,False,False,,,,,[],0,0,Jamaica,#pontheplaza #dancehall #ptrenz #2grantv,0,0,0,0,0,0,0,0,0,0
3,JM,7097652285278358789,1652550951,🛖🧎💀🐃fully guzu#jamaicatiktok🇯🇲🇯🇲 #jamaicatiktok🇯🇲🇯🇲 #fypシ #makemefamous #makemefamous #fyppppppppppppppppppppppp,7054434482250826758,Dûtty Tràp Kxñg,"new page got band a 1k🤦‍♂️(spam block)
add up fully active💯💯😎
single",0,False,https://m.tiktok.com/v/7097652285278358789.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097652285278358789&source=h5_m,731800,1286,3605,13839,25738,7092567518111337222,7092567518111337222,72,7092567518111337222,JovGad Mystic Kraft,JovgadOfficial,7.053285709490963e+18,JovgadOfficial,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092567487677532933.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30baedd0c47ab5d7532c48a48c0fd101.json,False,False,,,,,[],0,0,Jamaica,#jamaicatiktok🇯🇲🇯🇲 #jamaicatiktok🇯🇲🇯🇲 #fypシ #makemefamous #makemefamous #fyppppppppppppppppppppppp,0,0,0,1,0,0,2,0,0,0
4,JM,7100923587976072454,1653312612, ,7052108252972876805,Wingy Slimas,,0,False,https://m.tiktok.com/v/7100923587976072454.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100923587976072454&source=h5_m,921595,5741,2729,222,50600,7098321761296517894,7098321761296517894,72,7098321761296517894,Message To My Ex,👑Energy Queen👑,6.818817924141532e+18,👑Energy Queen👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098644542378806021.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6f282dbea4e57d47b532c9cbee904c33.json,False,False,,,,,[],0,0,Jamaica,,0,0,0,0,0,0,0,0,0,0
5,JM,7103207879414516998,1653844464,mi ready fi mek uno dwl and alla dem gud sumn deh. let’s goo #fatskullreturns #fy #fyp,6805354026588521478,Fatskull,🇯🇲💀🇯🇲,0,False,https://m.tiktok.com/v/7103207879414516998.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103207879414516998&source=h5_m,230884,114,701,6293,31475,7103207880991820549,7103207880991820549,72,7103207880991820549,original sound - fatskull,Fatskull,6.805354026588521e+18,Fatskull,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103207885122882310.mp3,,False,False,,,,,[],0,0,Jamaica,#fatskullreturns #fy #fyp,0,0,1,0,0,0,0,0,0,0
6,US,7085061536703647018,1649619439,Whether you see something moving or hear something moving…we gone make it shake 💁🏾‍♂️🤣,444560,Rodney Lee,"🏳️‍🌈
SUBSCRIBE TO MY YOUTUBE!!!
PO BOX 800012 Santa Clarita CA 91380",0,False,https://m.tiktok.com/v/7085061536703647018.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085061536703647018&source=h5_m,6561645,15689,82714,85232,717507,7075424213472987946,7075424213472987946,72,7075424213472987946,bones,reefyy,7.013225990672025e+18,reefyy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075420039205178154.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f5f953bf66bb00af6ce70911e554a93.json,False,False,,,,,[],0,0,Jamaica,,0,0,0,0,0,0,0,0,0,0
7,JM,7095417771869179142,1652030688,Cause we did 😂#nickiivsklyne #youtubers #fyp,6772975947781587974,NickiiVSklyne,"Instagram:NICKII_BOO157
 Instagram :nklyne_gad
YouTube:NICKIIVSKLYNE",0,False,https://m.tiktok.com/v/7095417771869179142.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095417771869179142&source=h5_m,722289,493,304,1001,61392,7072935706494077739,7072935706494077739,72,7072935706494077739,Cause we did (Contains music from: WhenTheBeatdrop - Wolfpinkie),"Contains music from: ""WhenTheBeatdrop""",6210229.0,Mahj,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072935724592466731.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/cd89bfd67ac86d1ebaf86c7d4c74511d.json,False,False,Wolfpinkie,WhenTheBeatdrop,Cause we did (Contains music from: WhenTheBeatdrop - Wolfpinkie),"Contains music from: ""WhenTheBeatdrop""",[],0,0,Jamaica,#nickiivsklyne #youtubers #fyp,0,0,1,0,0,0,0,0,0,0
0,GY,7103010630633917702,1653798542,🤣🤣🤣 #fyp #skeng,7000019075120776198,jamaican_guyanesetikt0k,"Entertainment From Di Whole Caribbean 💯 
Follow For more 😁",0,False,https://www.tiktok.com/@jamaican_guyanesetikt0k/video/7103010630633917702?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103010630633917702&source=h5_m,180063,228,234,1254,16646,7098093188288334598,7098093188288334598,72,7098093188288334598,Big trap me issa choppa,Big trap,5.333686912342835e+16,Big trap,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098093192922417926.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a317c82a5139663148cfe59f01ce3ce0.json,False,False,,,,,[],0,0,Jamaica,#fyp #skeng,0,0,1,0,0,0,0,0,0,0
1,US,7097622368524307755,1652543986,Deep pain. #fyp,6938998646025847814,Kandon Dortch,Business Major • Aspiring Fitness Model 💫,0,False,https://www.tiktok.com/@kandondortch/video/7097622368524307755?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097622368524307755&source=h5_m,2256661,842,8801,25109,327737,7076424303012612910,7076424303012612910,72,7076424303012612910,original sound - reaganbeem,Reagan Beem,6.746049792097355e+18,Reagan Beem,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076424335695301422.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/e64bfe7b27ab8fe2bd779fbfa69491d0.json,False,False,,,,,[],0,0,Jamaica,#fyp,0,0,1,0,0,0,0,0,0,0
